Gender,Nationality,Class Level,Age,School Type,Main Administration,Candidacy type,Degree
female,Saudi,3,21,Governmental,Riyadh,Self-Candidacy,593
male,Saudi,3,20,Governmental,Unknown,Self-Candidacy,600
female,Saudi,3,19,Governmental,Aseer,Self-Candidacy,640
male,Saudi,3,19,Governmental,Jazan,Self-Candidacy,600
female,Saudi,3,19,Governmental,Eastern,Talented-Candidacy,713
male,Saudi,3,19,Private,Qaseem,Talented-Candidacy,587
male,Saudi,3,19,Governmental,Jazan,Self-Candidacy,673
male,Saudi,3,19,Governmental,Madinah,Talented-Candidacy,600
male,Saudi,3,19,Governmental,Madinah,Talented-Candidacy,640
male,Saudi,3,19,Governmental,Bahah,Talented-Candidacy,627
female,Saudi,3,19,Governmental,Aseer,Self-Candidacy,627
female,Saudi,3,19,Governmental,Jazan,Self-Candidacy,473
male,Saudi,3,19,Governmental,Jazan,Talented-Candidacy,660
male,Saudi,3,19,Private,Riyadh,Talented-Candidacy,607
female,Saudi,3,19,Governmental,Mecca,Self-Candidacy,587
female,Saudi,3,19,Governmental,Jazan,Talented-Candidacy,573
female,Saudi,3,19,Governmental,Aseer,Self-Candidacy,607
female,Saudi,3,19,Governmental,Madinah,Talented-Candidacy,633
female,Saudi,3,19,Governmental,Jazan,Self-Candidacy,633
male,Saudi,3,19,Governmental,Aseer,Self-Candidacy,660
male,Saudi,3,19,Governmental,Mecca,Talented-Candidacy,633
female,Saudi,3,19,Governmental,Tabuk,Self-Candidacy,607
male,Saudi,3,19,Governmental,Mecca,Self-Candidacy,600
female,Saudi,3,19,Governmental,Hail,Self-Candidacy,547
female,Saudi,3,19,Governmental,Riyadh,Talented-Candidacy,627
female,Saudi,3,19,Governmental,Jazan,Self-Candidacy,600
female,Saudi,3,19,Governmental,Mecca,Self-Candidacy,387
female,Saudi,3,19,Governmental,Jazan,Self-Candidacy,600
male,Saudi,3,19,Governmental,Eastern,Talented-Candidacy,660
male,Saudi,3,19,Governmental,Eastern,Self-Candidacy,573
male,Saudi,3,19,Governmental,Unknown,Self-Candidacy,627
male,Saudi,3,19,Governmental,Hudud-Shimaliyyah,Self-Candidacy,633
male,Saudi,3,19,Private,Aseer,Self-Candidacy,580
male,Saudi,3,19,Governmental,Bahah,Talented-Candidacy,607
male,Saudi,3,19,Governmental,Eastern,Self-Candidacy,580
female,Saudi,3,19,Governmental,Riyadh,Self-Candidacy,593
female,Saudi,3,19,Governmental,Aseer,Self-Candidacy,400
male,Saudi,3,19,Governmental,Jazan,Self-Candidacy,653
female,Saudi,3,19,Governmental,Tabuk,Talented-Candidacy,607
male,Saudi,3,19,Governmental,Bahah,Talented-Candidacy,607
male,Saudi,3,19,Governmental,Madinah,Self-Candidacy,640
male,Saudi,3,19,Private,Eastern,Self-Candidacy,607
male,Saudi,3,18,Governmental,Eastern,Talented-Candidacy,727
female,Saudi,3,18,Governmental,Qaseem,Self-Candidacy,787
female,Saudi,3,19,Foreign,Riyadh,Self-Candidacy,700
male,Saudi,3,18,Governmental,Madinah,Talented-Candidacy,500
female,Saudi,3,18,Governmental,Riyadh,Self-Candidacy,620
female,Saudi,3,18,Governmental,Eastern,Self-Candidacy,633
female,Saudi,3,18,Private,Riyadh,Self-Candidacy,673
female,Saudi,3,18,Governmental,Eastern,Talented-Candidacy,587
male,Saudi,3,18,Governmental,Qaseem,Talented-Candidacy,620
female,Saudi,3,18,Governmental,Jazan,Self-Candidacy,527
female,Saudi,3,18,Governmental,Mecca,Self-Candidacy,567
female,Saudi,3,18,Governmental,Riyadh,Self-Candidacy,507
female,Saudi,3,18,Governmental,Mecca,Talented-Candidacy,520
female,Saudi,3,18,Governmental,Jawf,Self-Candidacy,627
male,Saudi,3,18,Governmental,Unknown,Self-Candidacy,653
male,Saudi,3,18,Governmental,Riyadh,Talented-Candidacy,660
female,Saudi,3,18,Governmental,Mecca,Self-Candidacy,660
female,Saudi,3,18,Governmental,Jazan,Self-Candidacy,607
male,Saudi,3,18,Governmental,Aseer,Self-Candidacy,453
female,Saudi,3,18,Governmental,Tabuk,Self-Candidacy,640
female,Saudi,3,18,Governmental,Riyadh,Talented-Candidacy,427
